year,month,day,dayofyear,weekofyear,dayofweek,quarter,battery,damage,narcotics,theft,other,Latitude,Longitude
2004.0,6.0,24.0,176.0,26.0,3.0,2.0,0,0,1,0,0,41.897511325,-87.753213623
2013.0,5.0,8.0,128.0,19.0,2.0,2.0,0,0,0,1,0,41.750881615,-87.62850976600002
2010.0,5.0,3.0,123.0,18.0,0.0,2.0,1,0,0,0,0,41.861789597,-87.706756466
2004.0,6.0,9.0,161.0,24.0,2.0,2.0,0,1,0,0,0,41.973086256,-87.70005872700001
2009.0,3.0,15.0,74.0,11.0,6.0,1.0,0,1,0,0,0,41.897751907,-87.71516907700001
2013.0,6.0,28.0,179.0,26.0,4.0,2.0,0,1,0,0,0,41.747033298000005,-87.64010601
2009.0,5.0,7.0,127.0,19.0,3.0,2.0,0,0,1,0,0,41.68995741,-87.637460623
2005.0,5.0,11.0,131.0,19.0,2.0,2.0,0,0,1,0,0,41.839901286999996,-87.732944852
2006.0,9.0,14.0,257.0,37.0,3.0,3.0,1,0,0,0,0,41.781746414000004,-87.675183358
2001.0,2.0,24.0,55.0,8.0,5.0,1.0,1,0,0,0,0,41.672394133000005,-87.654984805
2011.0,10.0,30.0,303.0,43.0,6.0,4.0,0,0,0,0,1,41.974722951,-87.89061950899998
2018.0,10.0,30.0,303.0,44.0,1.0,4.0,0,0,0,1,0,41.885366416,-87.665064826
2008.0,5.0,23.0,144.0,21.0,4.0,2.0,0,0,0,1,0,41.886763105,-87.62165269100002
2005.0,2.0,17.0,48.0,7.0,3.0,1.0,0,0,0,1,0,41.87494711,-87.64244129999999
2007.0,5.0,11.0,131.0,19.0,4.0,2.0,0,0,0,1,0,41.943001555,-87.64936355299999
2003.0,3.0,3.0,62.0,10.0,0.0,1.0,0,0,0,1,0,41.736351389,-87.60966775
2015.0,10.0,19.0,292.0,43.0,0.0,4.0,1,0,0,0,0,41.757639014,-87.556310458
